fill_prob_decile,n,mean_pred_fill_prob,realized_fill_rate,realized_fill_rate_ci95
1,187,0.2602263155691821,0.1925133689839572,0.05651105114869483
2,186,0.47397733388241947,0.0,0.0
3,186,0.5461797717844393,0.24731182795698925,0.06200541073793361
4,186,0.5952291255572978,0.3548387096774194,0.06876211808433147
5,186,0.6239573159070642,0.4731182795698925,0.07175315947960198
6,186,0.6485748936773091,0.5268817204301075,0.07175315947960198
7,186,0.6736868745854154,0.6021505376344086,0.07034148396868437
8,186,0.7091341030085971,0.7634408602150538,0.06107411260323092
9,186,0.7528980455441378,0.6397849462365591,0.06899180972443357
10,187,0.9350965855719925,0.7700534759358288,0.06031275062780329
