lookback_window,markout_horizon,high_low_markout_contrast,high_group_markout,low_group_markout,n
5,10,-6.409286251698471,-6.314659574986334,0.09462667671213687,870
5,50,-8.729896852428261,-8.650861075494262,0.07903577693399921,828
5,100,-5.286783346016223,-5.095030062326927,0.19175328368929523,786
5,500,2.825675164901175,3.5241387858873763,0.6984636209862012,112
10,10,-7.1246296313029305,-7.009457448638459,0.11517218266447103,870
10,50,-9.048931639297715,-9.031714356335105,0.017217282962609805,828
10,100,-5.358299612140626,-5.23982944299154,0.11847016914908588,786
10,500,2.6032518101805118,3.307972679952993,0.7047208697724812,112
20,10,-7.036222530376075,-7.3980252255263625,-0.36180269515028773,870
20,50,-9.358193625547242,-9.347806616519682,0.01038700902756024,828
20,100,-5.3018167941404215,-5.046294317473451,0.2555224766669705,786
20,500,1.5576724483034416,2.3557378279977494,0.7980653796943079,112
50,10,-8.472298229776726,-8.575970273346528,-0.10367204356980178,870
50,50,-9.450692549135463,-9.302704892429487,0.14798765670597475,828
50,100,-5.4070108706853,-5.074977896767093,0.332032973918207,786
50,500,-0.9527843791771453,0.49339513533508894,1.4461795145122343,112
100,10,-9.014914395262501,-8.813605208925054,0.2013091863374471,870
100,50,-9.861659739397137,-9.462323340555946,0.39933639884119143,828
100,100,-5.537042793673784,-5.025043778055872,0.5119990156179115,786
100,500,-0.9097894154669041,0.5363900990453302,1.4461795145122343,112
200,10,-5.71806474217035,-4.911126854821702,0.8069378873486486,870
200,50,-2.9582176583401094,-2.364088812986928,0.5941288453531813,828
200,100,-1.263842494593058,-0.7467224453621154,0.5171200492309427,786
200,500,-0.9530611617841867,0.49334685879178625,1.4464080205759728,112
500,10,-7.307213121533284,-3.9516272376321853,3.355585883901098,870
500,50,-4.147735262498794,-2.019761398079585,2.127973864419209,828
500,100,-1.9805522120884274,-0.6925525945407456,1.2879996175476818,786
500,500,-0.9530128852408839,0.49339513533508894,1.4464080205759728,112
