pred_markout_decile,n,mean_pred_markout,realized_mean_markout,realized_markout_ci95
1,79,-12.10272326178528,-9.20229017817545,1.3807052848422379
2,78,-4.878485178606139,-11.190659223689694,2.6940531728783577
3,78,-3.6016734605309217,-4.8161737982669734,3.552450078569483
4,78,-2.9327681740538756,2.3703639863917068,1.8902787614296765
5,79,-2.2588792564653066,1.1899031054182172,0.5234213398495484
6,78,-1.7140165211350022,0.49888284758988166,0.0006458742806289635
7,78,-1.2885802809491398,0.4947697412586795,0.0011546539055212828
8,78,-0.9531686516794806,0.5150859119118346,0.11932039871364251
9,78,-0.3519748600834264,0.24265533057097435,0.08323533841901216
10,79,0.8890636380029664,-0.2442601353750088,0.22322013989913514
