scenario,seed,trades,trade_volume,average_spread,average_abs_imbalance,average_abs_microprice_deviation,average_abs_order_flow_imbalance,realized_volatility,resilience_score
calm_baseline,0,97,412,1.06,0.04468779874901165,0.02438735058968935,0.06833333333333333,2.0412896404519644e-06,0.8325581395348838
calm_baseline,1,81,362,1.1766666666666667,0.02313628173083664,0.016338233215328728,0.06333333333333334,2.041289640451963e-06,0.6280701754385964
calm_baseline,2,107,456,1.235,0.018594390564472596,0.013693523827772272,0.08166666666666667,4.567468917419135e-06,0.5646687697160884
calm_baseline,3,70,343,1.48,0.02050731758202999,0.014991095843391426,0.06333333333333334,4.082936635007417e-06,0.39601769911504425
calm_baseline,4,113,466,1.0016666666666667,0.018397348479691194,0.00922828506891771,0.085,2.0411875785259267e-06,0.9944444444444444
calm_baseline,5,102,428,1.0516666666666667,0.017249082414317773,0.009956933441098954,0.07333333333333333,2.0411875785259288e-06,0.8523809523809525
calm_baseline,6,97,457,1.4533333333333334,0.05023122159419359,0.04607329038446854,0.08166666666666667,5.3999950120641705e-06,0.41055045871559637
calm_baseline,7,99,392,1.0216666666666667,0.032652854243582906,0.016664978175798144,0.07666666666666666,2.041289640451965e-06,0.9322916666666667
calm_baseline,8,96,403,1.3583333333333334,0.02515365358056243,0.018838116693938596,0.07333333333333333,4.567514529487253e-06,0.5
calm_baseline,9,121,516,1.4083333333333334,0.039351502864012164,0.03593197198125684,0.09,5.404613933252646e-06,0.5309734513274337
information_shock,0,368,1464,2.23,0.18675747038464463,0.21121850733371503,0.26666666666666666,1.4150364767581208e-05,0.5339965920958609
information_shock,1,361,1440,2.473333333333333,0.20028721877572866,0.2591538548297649,0.2683333333333333,2.3108610692711464e-05,0.8923114394738979
information_shock,2,299,1220,2.0883333333333334,0.057949012913531314,0.05957168508348332,0.22333333333333333,1.0196622634934044e-05,0.7756710304980619
information_shock,3,309,1301,2.223333333333333,0.1094458204243445,0.1153377427653595,0.24,2.042367442482138e-05,0.44560975218026755
information_shock,4,289,1236,2.0683333333333334,0.04055445151428913,0.0420305797614886,0.235,1.2913913182023998e-05,0.7162729019512328
information_shock,5,354,1467,2.0883333333333334,0.1465611754852137,0.17807689520694112,0.245,1.3852126377712044e-05,0.7015813143769042
information_shock,6,367,1441,3.06,0.13490752164669317,0.20587102104094507,0.26666666666666666,2.3019873262227925e-05,0.6224046285608424
information_shock,7,257,1065,1.8416666666666666,0.0827815882777351,0.07401239571957376,0.19833333333333333,8.871083198301046e-06,0.7043333974605619
information_shock,8,408,1593,2.6266666666666665,0.12155813442122358,0.17150886388002315,0.285,2.493074907298196e-05,0.0
information_shock,9,325,1363,2.52,0.07457467989260455,0.11024412611804109,0.24,1.3548571724551199e-05,0.0
resilient_market,0,298,1447,1.2466666666666666,0.0334797704307046,0.01967728314970979,0.26,3.5375287307892647e-06,0.5682539682539682
resilient_market,1,316,1422,1.5866666666666667,0.05174123983364203,0.05772816014136879,0.2683333333333333,8.422577942915849e-06,0.570351199421161
resilient_market,2,288,1391,1.35,0.02382747187252655,0.017252970300099455,0.255,6.128418601722564e-06,0.5
resilient_market,3,281,1336,1.7933333333333332,0.0401123228072383,0.03850706812157114,0.24333333333333335,1.0614759773015976e-05,0.7005803304606011
resilient_market,4,275,1359,1.0016666666666667,0.022717401315350993,0.011388311486753082,0.24666666666666667,2.0411875785259267e-06,0.9944444444444444
resilient_market,5,279,1326,1.2933333333333332,0.016633778692023093,0.01197405269702055,0.24833333333333332,3.5293470801393915e-06,0.504225352112676
resilient_market,6,295,1359,1.1133333333333333,0.027212179161416435,0.015348122387928622,0.25666666666666665,4.567423227469268e-06,0.7246963562753036
resilient_market,7,279,1343,1.2233333333333334,0.02274421367848251,0.014878307779566361,0.23666666666666666,4.548488767359955e-06,0.5718849840255591
resilient_market,8,303,1512,1.11,0.04281299808165133,0.02460661232241667,0.27666666666666667,6.761784088487745e-06,0.7306122448979593
resilient_market,9,296,1404,1.1633333333333333,0.022570613548196592,0.014948489977159625,0.25833333333333336,4.561682077608947e-06,0.6462093862815885
fragile_liquidity,0,364,1431,2.9183333333333334,0.25675577203141986,0.2915609446292759,0.245,3.0708333508726886e-05,0.0
fragile_liquidity,1,344,1382,3.278797996661102,0.21359462334773974,0.48363119108275593,0.24833333333333332,4.875314329468193e-05,0.900529809035864
fragile_liquidity,2,310,1225,2.6366666666666667,0.1495322094432092,0.1949994838984882,0.22833333333333333,2.407867350141015e-05,0.39542574440784684
fragile_liquidity,3,338,1303,3.533333333333333,0.13366551179212838,0.27529982143622267,0.23833333333333334,2.7396627917986626e-05,0.7795031925618909
fragile_liquidity,4,326,1333,2.835,0.1387781199113559,0.182534817605665,0.24666666666666667,1.683685412394225e-05,0.9206215270631818
fragile_liquidity,5,344,1334,3.36,0.19782617193394736,0.35347652293611037,0.23,1.472709353050801e-05,0.0
fragile_liquidity,6,352,1319,3.395,0.16132149044785563,0.23811868307525097,0.24666666666666667,2.1699429571635303e-05,0.8119469026548674
fragile_liquidity,7,320,1267,3.3233333333333333,0.11009995734667792,0.22416191217435275,0.23833333333333334,2.4337644634919308e-05,0.8664110451808547
fragile_liquidity,8,366,1351,3.0183333333333335,0.27691157710760406,0.41696024268713394,0.245,2.7634202726784202e-05,0.9453325720810734
fragile_liquidity,9,329,1306,2.0433333333333334,0.07987318050290358,0.08174692054471051,0.23166666666666666,1.3226141029512872e-05,0.9959469506199486
