side,absorption_state,horizon,mean_markout_bps,mean_depth_recovery_5,mean_spread_response,quote_survival_rate,count
buy,partial_absorption,1,-0.5757687527127288,7.026185811422229,0.04671637885923601,0.5418628990057561,3822
buy,strong_absorption,1,-0.5442181423533149,17.136985865061312,-0.031262185736275,0.5366854797331965,3899
buy,weak_absorption,1,-0.8767138634264203,3.215047617348525,0.07353477072578199,0.48010932280595203,3293
sell,partial_absorption,1,-0.517782558328658,9.158623255551001,0.06504167787039528,0.5106211347136327,3720
sell,strong_absorption,1,-0.614134854503927,33.50234192258771,0.08581761006289308,0.4471126357918811,3499
sell,weak_absorption,1,-0.8771190839055109,4.247023707488979,-0.07213249516441002,0.4601063829787234,4139
buy,partial_absorption,2,-0.6761876888636904,8.873414760667583,0.046729461015175305,0.5078492935635793,3822
buy,strong_absorption,2,-0.5204431786272585,20.911892976422266,0.10838420107719927,0.5196204154911516,3899
buy,weak_absorption,2,-1.0871097479242022,3.5723967212546306,0.07173701791679322,0.4303067112055876,3293
sell,partial_absorption,2,-0.57265580822199,10.401150307624418,-0.15076075268817204,0.48494623655913977,3720
sell,strong_absorption,2,-0.5875218502786357,39.81682631870334,0.12061160331523292,0.42812232066304656,3499
sell,weak_absorption,2,-1.0972134803504052,4.962675753203589,-0.06469920270596762,0.4056535395022952,4139
buy,partial_absorption,5,-0.7787013100376017,9.426941750564415,-0.058948194662480365,0.46991104133961276,3822
buy,strong_absorption,5,-0.31575180955484833,28.411786648473928,0.03147986663246987,0.5132085150038471,3899
buy,weak_absorption,5,-1.660140239083108,4.158347898664189,0.07128454296993621,0.3480109322805952,3293
sell,partial_absorption,5,-0.6821242407200699,12.72134796483216,-0.06702956989247313,0.45,3720
sell,strong_absorption,5,-0.402779192845568,46.495382264266176,0.09190625893112316,0.44212632180623035,3499
sell,weak_absorption,5,-1.701708554347858,5.442300539933328,-0.02027549540840984,0.31053649105848236,4139
buy,partial_absorption,10,-0.837429516894866,9.630363499032498,0.3843324607329842,0.4458115183246073,3822
buy,strong_absorption,10,0.13832922912523782,28.3520200103324,-0.01353936906899204,0.5388561169530649,3899
buy,weak_absorption,10,-2.536936000306068,4.325368403568689,0.08308836926814456,0.2447616155481324,3293
sell,partial_absorption,10,-0.7181598428132199,14.313327520129482,-0.11464784946236556,0.4349462365591398,3720
sell,strong_absorption,10,0.11027920284608718,56.80268038323636,0.22605030008573876,0.4978565304372678,3499
sell,weak_absorption,10,-2.575991215565338,6.6275570779196435,0.02660865361372978,0.2223833695914914,4139
buy,partial_absorption,30,-0.864688008608747,8.90447587880667,-0.011998953427524859,0.4581371009942439,3822
buy,strong_absorption,30,2.665446288416066,37.366665742869785,-0.19292895614260067,0.7758399589638368,3899
buy,weak_absorption,30,-5.921365361853025,2.627663349312391,0.21374430610385667,0.0,3293
sell,partial_absorption,30,-0.24561901752369586,11.708166302346651,-0.13300537634408602,0.5008064516129033,3720
sell,strong_absorption,30,2.9588667534959976,68.7129643963695,0.03365818805372962,0.758788225207202,3499
sell,weak_absorption,30,-5.687160124633828,3.3804988409654673,0.139625513409036,0.0,4139
buy,partial_absorption,60,-0.8326997969872965,13.714226064599256,-0.0750431824129809,0.46113582831719446,3822
buy,strong_absorption,60,3.1791866232831167,31.873417008673755,0.18494612621857362,0.6516162134427912,3899
buy,weak_absorption,60,-6.742498869558359,7.105995003940035,0.22814758578803526,0.1970847251746128,3293
sell,partial_absorption,60,-0.35762986671728125,18.485828451661927,-0.133410435718128,0.47391070467993546,3720
sell,strong_absorption,60,3.425349194840577,62.03904092160336,0.1508433390508862,0.6423670668953688,3499
sell,weak_absorption,60,-6.309667708950327,9.985787023880027,0.12040589514375455,0.18579366996859145,4139
buy,partial_absorption,120,-0.557309775324531,13.772454063546043,-0.05639194139194139,0.47749869178440607,3822
buy,strong_absorption,120,3.2839465692799257,31.76686570312258,-0.15719086711133914,0.6015905592611596,3899
buy,weak_absorption,120,-6.742374295674113,8.009783788985066,0.2677011843303978,0.31885818402672333,3293
sell,partial_absorption,120,-0.3893626876717795,21.59444799827106,-0.1635476062399139,0.4768692845615923,3720
sell,strong_absorption,120,3.337537916870156,63.560014440259216,0.13915666094911378,0.5877644368210406,3499
sell,weak_absorption,120,-6.004139431501173,11.588946058985556,0.10321333655472337,0.300797294032375,4139
buy,partial_absorption,300,-0.6906003080416667,14.32317463334096,-0.18393772893772894,0.47226582940868655,3822
buy,strong_absorption,300,2.983271279907042,39.206336877364244,-0.2765478327776353,0.5637342908438061,3899
buy,weak_absorption,300,-6.286291283736317,7.7399853210291685,0.21414819313695715,0.39204372912238084,3293
sell,partial_absorption,300,-1.1960910179275135,21.753049916259428,-0.2935833333333333,0.48333333333333334,3720
sell,strong_absorption,300,3.6682098380182633,62.05078477004978,0.14891397542154902,0.5547299228350957,3499
sell,weak_absorption,300,-6.06471722290346,11.262662956923931,-0.04122251751630829,0.3870500120802126,4139
