fill_score_bin,n,filled_n,mean_pred_fill_prob,realized_fill_rate,realized_fill_rate_ci95,mean_signed_markout_cond_fill,mean_signed_markout_ci95
1,129,60,0.33138095466282996,0.46511627906976744,0.08607393869035777,-10.116458600340623,1.629780044584497
2,129,48,0.4690984901156139,0.6744186046511628,0.080864103744151,-1.1757679638853158,1.6340653002600989
3,128,92,0.4944015043807385,0.71875,0.07789082089995425,0.44851932279696327,0.47628482002867867
4,129,111,0.5125560483621867,0.8604651162790697,0.059795602728597276,0.09353493317633423,0.6280541632272594
5,129,101,0.5344562605369675,0.7829457364341085,0.07113956552586893,-0.7192462061554786,0.9441754904096594
6,128,95,0.5552583120091534,0.7421875,0.07578092280051785,-0.6762342976440682,0.8898687846072556
7,128,75,0.5802224477714648,0.5859375,0.08533155961974838,0.6380148875771313,0.08587446611493532
8,129,65,0.6020976927025744,0.5038759689922481,0.08628159626281967,0.7523908761397952,0.07097284536061599
9,128,41,0.624907098084065,0.6171875,0.08420787394261624,0.6948790943615012,0.06432255883615887
10,129,98,0.834688108803551,0.813953488372093,0.0671539829837563,-1.4665171342029661,0.2589929166227154
