side,total_time_after_shock,outcome_horizon_after_absorption,r2,mae,rank_correlation,count,coef_intercept,coef_shock_ratio_l5_10s,coef_strict_absorption_score,coef_shock_absorption_interaction,coef_pre_spread,coef_lag_depth_5,coef_recent_volatility_30s
buy,10,5,0.004602553345447791,2.7234149760146913,0.03550665511863847,2358,-0.12385058153618557,-0.021341680712598537,0.12450739777065901,-0.003442287576384154,0.15319925137978957,-0.03320719281114299,-0.013130295464586661
sell,10,5,-0.004557851026607773,2.5699414750200873,-0.005358660605388203,2510,-0.18510550895459102,-0.0013357755078097083,0.04941886740118644,-0.004127875302655832,-0.10610691705377455,-0.0575806043123104,0.0845573034902121
buy,30,25,-0.020562677783243055,7.452478823040837,0.015200540368605475,2358,-0.20815419498862273,-0.07637191333882398,0.1872699812247485,0.0013663378823168208,0.4366701777684074,-0.03134030355102275,0.005184573930438037
sell,30,25,0.005806020233083187,7.091709270586015,0.0021966953360008836,2510,-0.4246132754923858,-0.03570276140438748,0.1656664473968347,0.031203063336552456,-0.10387069973819636,-0.3105297984888297,0.1943875912608727
buy,60,55,-0.01441135375944258,11.688133772709795,0.02242619961293888,2358,-0.18593275990973265,0.07757512210399875,0.4333266809309063,-0.02574861299238709,0.33839281427655793,0.06849918487494516,0.2810620196883248
sell,60,55,0.001460349929873983,11.206318089359,-0.021667461032872204,2510,-0.6224602719445147,-0.06775942218014991,0.046666378298737494,0.007454505485018185,-0.0018494964963388578,-0.4678716172363211,0.12144934295892186
buy,120,115,-0.002360039716228668,17.55233306050648,0.009979696285963947,2358,0.11790764765347439,0.3004073797289418,0.4368433121303542,0.08754769929068379,0.5613874573411368,0.01987391474310785,0.22096505927027832
sell,120,115,0.002523537664961495,16.62792766803797,-0.02257957272326117,2510,-0.7145996114750929,-0.20436427817951125,-0.1747067176018521,0.011743891867174115,-0.3905948244522181,-0.6489460509119799,0.03380975552948432
buy,300,295,0.005211531361001165,28.62315842089885,0.03534807771576493,2358,0.4454548608235093,0.37055659275075015,0.6961131767477223,-0.5895968567195159,0.6884058324542035,-0.12185722465618445,0.6226017352455527
sell,300,295,0.0005721503407595252,27.070644624916575,-0.007918059978579391,2510,-1.4884662182924249,0.012362935779045986,-0.12725168353148292,0.21935467832506297,-0.20559612470429603,-1.5294706869647963,-0.014099129380548902
