side,absorption_state,total_time_after_shock,outcome_horizon_after_absorption,future_quote_survival_rate,total_quote_survival_rate,count
buy,partial_absorption,10,5,0.6089266737513284,0.40356004250797023,3765
buy,strong_absorption,10,5,0.6491811668372569,0.46443193449334697,3908
buy,weak_absorption,10,5,0.5834591005131301,0.38273468155750073,3313
sell,partial_absorption,10,5,0.5601436265709157,0.3724031803026417,3899
sell,strong_absorption,10,5,0.6207004377736085,0.4346466541588493,3198
sell,weak_absorption,10,5,0.5332068311195446,0.3368121442125237,4217
buy,partial_absorption,30,25,0.4852589641434263,0.41540504648074367,3765
buy,strong_absorption,30,25,0.5317460317460317,0.47235023041474655,3908
buy,weak_absorption,30,25,0.47721098702082704,0.4071838213099909,3313
sell,partial_absorption,30,25,0.46524749935880994,0.39112592972557064,3899
sell,strong_absorption,30,25,0.5215759849906192,0.45653533458411505,3198
sell,weak_absorption,30,25,0.44225752904908705,0.35973440834716625,4217
buy,partial_absorption,60,55,0.4786188579017264,0.4294820717131474,3765
buy,strong_absorption,60,55,0.5199590583418628,0.4872057318321392,3908
buy,weak_absorption,60,55,0.48143676426199816,0.42740718382131,3313
sell,partial_absorption,60,55,0.4734547319825596,0.4254937163375224,3899
sell,strong_absorption,60,55,0.5037523452157598,0.45997498436522827,3198
sell,weak_absorption,60,55,0.4417832582404553,0.3872421152478065,4217
buy,partial_absorption,120,115,0.49243027888446217,0.46401062416998673,3765
buy,strong_absorption,120,115,0.5181678607983623,0.49564994882292734,3908
buy,weak_absorption,120,115,0.4974343495321461,0.45879867189858137,3313
sell,partial_absorption,120,115,0.4879425346331452,0.4543355566957414,3899
sell,strong_absorption,120,115,0.4965603502188868,0.4649781113195747,3198
sell,weak_absorption,120,115,0.4689278937381404,0.426707779886148,4217
buy,partial_absorption,300,295,0.4956175298804781,0.47649402390438245,3765
buy,strong_absorption,300,295,0.5092118730808598,0.4923234390992835,3908
buy,weak_absorption,300,295,0.4932085722909749,0.4714760036220948,3313
sell,partial_absorption,300,295,0.4975634778148243,0.485509104898692,3899
sell,strong_absorption,300,295,0.5025015634771732,0.48686679174484054,3198
sell,weak_absorption,300,295,0.4787763813137301,0.44439174768792983,4217
