date,row_count,mean_spread,volatility,shock_episodes,mean_shock_ratio_l5,weak_absorption_share,quote_survival_60,markout_60
2021-04-07,44836,1.3295229280042822,18298.046225096343,1320,5.057763261901999,0.35984848484848486,0.45606060606060606,-1.4755607312400871
2021-04-08,86367,0.5581584401449627,18624.02775811367,1378,3.7374076164793495,0.34252539912917274,0.3848946986201888,-1.6541921264761452
2021-04-09,86394,0.6061030858624441,15967.128578287593,1254,3.7083079111204804,0.3269537480063796,0.41148325358851673,-1.1709359190439599
2021-04-10,86394,1.1210294696390952,26243.24548696766,1627,3.551186303172723,0.31837738168408114,0.4222495390288875,-1.2486393914056966
2021-04-11,86384,0.7699267225412114,20521.762895008083,1267,3.214135321569436,0.31097079715864245,0.39857932123125495,-1.5249642760857993
2021-04-12,86369,0.6283176834280818,21736.400783385277,1564,3.8493887027344225,0.33951406649616367,0.42418426103646834,-1.4773867989339469
2021-04-13,86378,1.2636408576257845,32012.31566795796,2335,4.828585167046335,0.3349036402569593,0.4324903557651093,-1.0713858961318885
2021-04-14,86390,1.6218918856349114,43253.15322729486,2594,3.679315290509,0.32498072474942175,0.44602929838087896,-1.3444796705363384
2021-04-15,86394,0.9077276199736093,25697.21929570815,1850,3.101900275359476,0.36648648648648646,0.42184964845862627,-1.1924823288148256
2021-04-16,86394,1.374682732597171,35600.837997008384,2303,2.9702456565322914,0.3495440729483283,0.4546244029526704,-0.9713986358424688
2021-04-17,86389,1.0591170172128395,26386.238711848368,1644,3.000378928292793,0.3248175182481752,0.444647201946472,-1.0584815440751953
2021-04-18,86389,4.5649190290430495,85049.33359621673,2627,3.6579354871786114,0.30985915492957744,0.46631138180433956,-1.357743461124619
2021-04-19,35650,1.2425228611500703,13639.139159559922,609,4.026826428056334,0.2889983579638752,0.4548440065681445,-1.2364665287396843
