volatility,initial_imbalance,fill_probability,bad_fill_ratio,average_net_execution_value,number_of_fills
0.004,-0.8,1.0,1.0,-0.1504298765815846,2000
0.004,-0.6000000000000001,1.0,1.0,-0.11006677993399995,2000
0.004,-0.4,1.0,1.0,-0.0701362151450694,2000
0.004,-0.19999999999999996,1.0,0.9505,-0.02995598563409105,2000
0.004,0.0,1.0,0.2735,0.010338647531358212,2000
0.004,0.19999999999999996,0.999,0.004004004004004004,0.05043567478787475,1998
0.004,0.40000000000000013,0.995,0.0,0.09074055516354927,1990
0.004,0.6000000000000001,0.9805,0.0,0.1304401139685904,1961
0.004,0.8,0.946,0.0,0.1701769456055053,1892
0.008,-0.8,1.0,1.0,-0.15085975316317432,2000
0.008,-0.6000000000000001,1.0,1.0,-0.11013355986800413,2000
0.008,-0.4,1.0,0.9795,-0.07027243029014446,2000
0.008,-0.19999999999999996,1.0,0.8005,-0.029911971268187214,2000
0.008,0.0,1.0,0.385,0.010677295062712396,2000
0.008,0.19999999999999996,0.999,0.07257257257257257,0.050871349575743255,1998
0.008,0.40000000000000013,0.995,0.004522613065326633,0.0914811103270937,1990
0.008,0.6000000000000001,0.9805,0.0,0.13088022793717718,1961
0.008,0.8,0.946,0.0,0.1703538912110045,1892
0.012,-0.8,1.0,0.9985,-0.15128962974476443,2000
0.012,-0.6000000000000001,1.0,0.9815,-0.11020033980201005,2000
0.012,-0.4,1.0,0.9065,-0.07040864543521844,2000
0.012,-0.19999999999999996,1.0,0.713,-0.02986795690228427,2000
0.012,0.0,1.0,0.4225,0.011015942594065485,2000
0.012,0.19999999999999996,0.999,0.16516516516516516,0.05130702436361329,1998
0.012,0.40000000000000013,0.995,0.033165829145728645,0.09222166549063729,1990
0.012,0.6000000000000001,0.9805,0.009178990311065782,0.13132034190576244,1961
0.012,0.8,0.946,0.0,0.17053083681650508,1892
0.02,-0.8,1.0,0.9515,-0.1521493829079448,2000
0.02,-0.6000000000000001,1.0,0.8935,-0.11033389967001896,2000
0.02,-0.4,1.0,0.779,-0.07068107572536826,2000
0.02,-0.19999999999999996,1.0,0.644,-0.029779928170477518,2000
0.02,0.0,1.0,0.4545,0.011693237656773384,2000
0.02,0.19999999999999996,0.999,0.2757757757757758,0.05217837393935111,1998
0.02,0.40000000000000013,0.995,0.14170854271356784,0.09370277581772565,1990
0.02,0.6000000000000001,0.9805,0.06833248342682305,0.13220056984293446,1961
0.02,0.8,0.946,0.02854122621564482,0.17088472802750462,1892
0.03,-0.8,1.0,0.881,-0.15322407436191976,2000
0.03,-0.6000000000000001,1.0,0.801,-0.11050084950503165,2000
0.03,-0.4,1.0,0.703,-0.07102161358805396,2000
0.03,-0.19999999999999996,1.0,0.596,-0.029669892255717856,2000
0.03,0.0,1.0,0.4695,0.012539856485156448,2000
0.03,0.19999999999999996,0.999,0.34134134134134136,0.05326756090902403,1998
0.03,0.40000000000000013,0.995,0.23366834170854273,0.09555416372658553,1990
0.03,0.6000000000000001,0.9805,0.15553289138194798,0.13330085476439857,1961
0.03,0.8,0.946,0.09408033826638477,0.17132709204125415,1892
